Id,Country,Year,Vehicle Type,NumericValue
22241111,Indonesia,2016,Other/unspecified road users,2.7
22241112,Iran (Islamic Republic of),2016,Other/unspecified road users,5
22241113,Ireland,2016,Other/unspecified road users,2.1
22241114,Israel,2016,Other/unspecified road users,10.1
22241115,Italy,2016,Other/unspecified road users,6.7
22241116,Jamaica,2016,Other/unspecified road users,7.7
22241117,Japan,2016,Other/unspecified road users,1
22241118,Jordan,2016,Other/unspecified road users,0
22241119,Kazakhstan,2016,Other/unspecified road users,3.3
22241120,Kenya,2016,Other/unspecified road users,0
22241121,Kiribati,2016,Other/unspecified road users,0
22241122,Kyrgyzstan,2016,Other/unspecified road users,30
22241123,Latvia,2016,Other/unspecified road users,3.8
22241124,Lebanon,2016,Other/unspecified road users,0
22241125,Libya,2016,Other/unspecified road users,0
22241126,Lithuania,2016,Other/unspecified road users,1
22241127,Luxembourg,2016,Other/unspecified road users,0
22241128,Madagascar,2016,Other/unspecified road users,0
22241129,Malawi,2016,Other/unspecified road users,0.1
22241130,Maldives,2016,Other/unspecified road users,0
22241131,Mali,2016,Other/unspecified road users,15.9
22241132,Malta,2016,Other/unspecified road users,9.1
22241133,Mauritius,2016,Other/unspecified road users,0
22241134,Mexico,2016,Other/unspecified road users,42.4
22241135,Micronesia (Federated States of),2016,Other/unspecified road users,0
22241136,Mongolia,2016,Other/unspecified road users,12.2
22241137,Montenegro,2016,Other/unspecified road users,4.6
22241138,Morocco,2016,Other/unspecified road users,7.9
22241139,Myanmar,2016,Other/unspecified road users,7.1
22241140,Netherlands,2016,Other/unspecified road users,1.6
22241141,New Zealand,2016,Other/unspecified road users,6.4
22241142,Nicaragua,2013,Other/unspecified road users,12.5
22241143,Norway,2016,Other/unspecified road users,12.6
22241144,Oman,2016,Other/unspecified road users,8.1
22241145,Panama,2016,Other/unspecified road users,17.5
22241146,Papua New Guinea,2016,Other/unspecified road users,0
22241147,Paraguay,2016,Other/unspecified road users,8.7
22241148,Peru,2016,Other/unspecified road users,88.6
22241149,Philippines,2016,Other/unspecified road users,93.9
22241150,Poland,2016,Other/unspecified road users,4.3
22241151,Portugal,2016,Other/unspecified road users,6.4
22241152,Qatar,2016,Other/unspecified road users,14.6
22241153,Republic of Korea,2016,Other/unspecified road users,33.7
22241154,Republic of Moldova,2016,Other/unspecified road users,58.1
22241155,Romania,2016,Other/unspecified road users,3.3
22241156,Russian Federation,2016,Other/unspecified road users,5.3
22241157,Saint Lucia,2016,Other/unspecified road users,6.7
22241158,Samoa,2016,Other/unspecified road users,5.9
22241159,Serbia,2016,Other/unspecified road users,12.5
22241160,Seychelles,2016,Other/unspecified road users,6.7
22241161,Singapore,2016,Other/unspecified road users,0.7
22241162,Slovakia,2016,Other/unspecified road users,4.4
22241163,Slovenia,2016,Other/unspecified road users,6.9
22241164,South Africa,2016,Other/unspecified road users,13.1
22241165,Spain,2016,Other/unspecified road users,6.4
22241166,Sri Lanka,2016,Other/unspecified road users,5.7
22241167,Sudan,2016,Other/unspecified road users,71.4
22241168,Suriname,2016,Other/unspecified road users,1.4
22241169,Sweden,2016,Other/unspecified road users,6.3
22241170,Switzerland,2016,Other/unspecified road users,4.2
22241171,Syrian Arab Republic,2016,Other/unspecified road users,4.2
22241172,Tajikistan,2016,Other/unspecified road users,0
22241173,Thailand,2016,Other/unspecified road users,2.3
22241174,North Macedonia,2016,Other/unspecified road users,4.7
22241175,Togo,2016,Other/unspecified road users,11.1
22241176,Tonga,2016,Other/unspecified road users,5.6
22241177,Trinidad and Tobago,2016,Other/unspecified road users,8.1
22241178,Tunisia,2016,Other/unspecified road users,0.7
22241179,Turkey,2016,Other/unspecified road users,38
22241180,Uganda,2016,Other/unspecified road users,0
22241181,Ukraine,2016,Other/unspecified road users,8.4
22241182,United Arab Emirates,2016,Other/unspecified road users,14.2
22241183,United Kingdom of Great Britain and Northern Ireland,2016,Other/unspecified road users,4.1
22241184,United Republic of Tanzania,2016,Other/unspecified road users,0.8
22241185,United States of America,2016,Other/unspecified road users,4.2
22241186,Uruguay,2016,Other/unspecified road users,0
22241187,"occupied Palestinian territory, including east Jerusalem",2016,Other/unspecified road users,10.7
22241188,Zimbabwe,2016,Other/unspecified road users,37.2
22241189,Albania,2016,Pedestrians,38.7
22241190,Andorra,2013,Pedestrians,50
22241191,Angola,2016,Pedestrians,40.5
22241192,Antigua and Barbuda,2016,Pedestrians,25
22241193,Argentina,2016,Pedestrians,8.2
22241194,Armenia,2016,Pedestrians,34.8
22241195,Australia,2016,Pedestrians,14
22241196,Austria,2016,Pedestrians,16.9
22241197,Azerbaijan,2016,Pedestrians,42
22241198,Bahamas,2013,Pedestrians,21.2
22241199,Bahrain,2013,Pedestrians,31.4
22241200,Barbados,2016,Pedestrians,22.2
22241201,Belarus,2016,Pedestrians,41.3
22241202,Belgium,2016,Pedestrians,12.2
22241203,Belize,2016,Pedestrians,24.8
22241204,Benin,2016,Pedestrians,16.8
22241205,Bolivia (Plurinational State of),2016,Pedestrians,2.5
22241206,Botswana,2016,Pedestrians,24.7
22241207,Brazil,2016,Pedestrians,18.1
22241208,Bulgaria,2016,Pedestrians,16.7
22241209,Cambodia,2016,Pedestrians,9.6
22241210,Canada,2016,Pedestrians,15.2
22241211,Chile,2016,Pedestrians,36
22241212,Colombia,2016,Pedestrians,26
22241213,Comoros,2016,Pedestrians,17.4
22241214,Cook Islands,2016,Pedestrians,0
22241215,Costa Rica,2016,Pedestrians,24.7
22241216,Côte d'Ivoire,2016,Pedestrians,40.2
22241217,Croatia,2016,Pedestrians,21.8
22241218,Cuba,2016,Pedestrians,33.2
22241219,Cyprus,2016,Pedestrians,30.4
22241220,Czechia,2016,Pedestrians,21.3
22241221,Democratic Republic of the Congo,2016,Pedestrians,51.9
22241222,Denmark,2016,Pedestrians,17.1
22241223,Dominica,2016,Pedestrians,10
22241224,Dominican Republic,2016,Pedestrians,17
22241225,Ecuador,2016,Pedestrians,19.8
22241226,Egypt,2016,Pedestrians,26.9
22241227,El Salvador,2016,Pedestrians,49
22241228,Eritrea,2016,Pedestrians,25.4
22241229,Estonia,2016,Pedestrians,31
22241230,Eswatini,2016,Pedestrians,43.8
22241231,Ethiopia,2016,Pedestrians,36.7
22241232,Fiji,2016,Pedestrians,36.7
22241233,Finland,2016,Pedestrians,10.7
22241234,France,2016,Pedestrians,16.1
22241235,Georgia,2016,Pedestrians,26.5
22241236,Germany,2016,Pedestrians,15.3
22241237,Ghana,2016,Pedestrians,46.1
22241238,Greece,2016,Pedestrians,18.1
22241239,Guatemala,2016,Pedestrians,39.2
22241240,Guyana,2016,Pedestrians,29.7
22241241,Honduras,2016,Pedestrians,27.9
22241242,Hungary,2016,Pedestrians,25
22241243,Iceland,2016,Pedestrians,11.1
22241244,India,2016,Pedestrians,10.4
22241245,Indonesia,2016,Pedestrians,15.5
22241246,Iran (Islamic Republic of),2016,Pedestrians,21.6
22241247,Ireland,2016,Pedestrians,18.6
22241248,Israel,2016,Pedestrians,28.7
22241249,Italy,2016,Pedestrians,17.6
22241250,Jamaica,2016,Pedestrians,22.2
22241251,Japan,2016,Pedestrians,35
22241252,Jordan,2016,Pedestrians,28.7
22241253,Kazakhstan,2016,Pedestrians,30.9
22241254,Kenya,2016,Pedestrians,37
22241255,Kiribati,2016,Pedestrians,40
22241256,Kyrgyzstan,2016,Pedestrians,40
22241257,Latvia,2016,Pedestrians,34.8
22241258,Lebanon,2016,Pedestrians,37
22241259,Libya,2016,Pedestrians,20.8
22241260,Lithuania,2016,Pedestrians,38
22241261,Luxembourg,2016,Pedestrians,25
22241262,Madagascar,2016,Pedestrians,47.1
22241263,Malawi,2016,Pedestrians,49.6
22241264,Maldives,2016,Pedestrians,25
22241265,Mali,2016,Pedestrians,11.5
22241266,Malta,2016,Pedestrians,27.3
22241267,Mauritius,2016,Pedestrians,30.6
22241268,Mexico,2016,Pedestrians,28.5
22241269,Micronesia (Federated States of),2016,Pedestrians,50
22241270,Mongolia,2016,Pedestrians,28.7
22241271,Montenegro,2016,Pedestrians,13.8
22241272,Morocco,2016,Pedestrians,26.3
22241273,Myanmar,2016,Pedestrians,14.2
22241274,Netherlands,2016,Pedestrians,9.2
22241275,New Zealand,2016,Pedestrians,7.6
22241276,Nicaragua,2013,Pedestrians,32.8
22241277,Norway,2016,Pedestrians,11.9
22241278,Oman,2016,Pedestrians,22.5
22241279,Palau,2013,Pedestrians,100
22241280,Panama,2016,Pedestrians,40
22241281,Papua New Guinea,2016,Pedestrians,47.5
22241282,Paraguay,2016,Pedestrians,22.5
22241283,Peru,2016,Pedestrians,8.1
22241284,Philippines,2016,Pedestrians,1
22241285,Poland,2016,Pedestrians,28.7
22241286,Portugal,2016,Pedestrians,21.8
22241287,Qatar,2016,Pedestrians,32
22241288,Republic of Korea,2016,Pedestrians,39.9
22241289,Republic of Moldova,2016,Pedestrians,18.5
22241290,Romania,2016,Pedestrians,37.2
22241291,Russian Federation,2016,Pedestrians,29.2
22241292,Saint Lucia,2016,Pedestrians,13.3
22241293,Saint Vincent and the Grenadines,2013,Pedestrians,47.1
22241294,Senegal,2016,Pedestrians,23.1
22241295,Serbia,2016,Pedestrians,20
22241296,Seychelles,2016,Pedestrians,33.3
22241297,Singapore,2016,Pedestrians,29.1
22241298,Slovakia,2016,Pedestrians,16.9
22241299,Somalia,2016,Pedestrians,38.4
22241300,South Sudan,2016,Pedestrians,21.5
22241301,Spain,2016,Pedestrians,29.2
22241302,Sri Lanka,2016,Pedestrians,28.6
22241303,Sudan,2016,Pedestrians,14.9
22241304,Suriname,2016,Pedestrians,15.6
22241305,Eswatini,2013,Pedestrians,33.5
22241306,Switzerland,2016,Pedestrians,23.1
22241307,Syrian Arab Republic,2016,Pedestrians,64.7
22241308,Tajikistan,2016,Pedestrians,40.3
22241309,Thailand,2016,Pedestrians,7.6
22241310,North Macedonia,2016,Pedestrians,33.1
22241311,Tonga,2016,Pedestrians,27.8
22241312,Trinidad and Tobago,2016,Pedestrians,31.1
22241313,Tunisia,2016,Pedestrians,24.6
22241314,Turkey,2016,Pedestrians,23.4
22241315,Uganda,2016,Pedestrians,39.5
22241316,Ukraine,2016,Pedestrians,41.9
22241317,United Arab Emirates,2016,Pedestrians,24.3
22241318,United Kingdom of Great Britain and Northern Ireland,2016,Pedestrians,23.7
22241319,United Republic of Tanzania,2016,Pedestrians,29.9
22241320,United States of America,2016,Pedestrians,15.3
22241321,Uruguay,2016,Pedestrians,16.6
22241322,"occupied Palestinian territory, including east Jerusalem",2016,Pedestrians,32.7
22241323,Zambia,2013,Pedestrians,36.4
22241324,Zimbabwe,2016,Pedestrians,13.7
