Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
25257624,RS_196,COUNTRY,AFG,YEAR,2003,SEX,MLE,,,,,,,2757 [2297-3217],2757.019,2297.258,3216.781,,2021-02-09T16:20:03Z,2003,2003-01-01,2003-12-31
25257625,RS_196,COUNTRY,AFG,YEAR,2013,SEX,FMLE,,,,,,,932 [795-1069],931.9866,795.185,1068.788,,2021-02-09T16:20:03Z,2013,2013-01-01,2013-12-31
25257626,RS_196,COUNTRY,AFG,YEAR,2019,SEX,BTSX,,,,,,,6033 [5227-6846],6033.163,5226.856,6846.281,,2021-02-09T16:20:04Z,2019,2019-01-01,2019-12-31
25257627,RS_196,COUNTRY,AFG,YEAR,2017,SEX,MLE,,,,,,,4433 [3825-5043],4433.12,3825.205,5043.436,,2021-02-09T16:20:04Z,2017,2017-01-01,2017-12-31
25257628,RS_196,COUNTRY,AFG,YEAR,2004,SEX,FMLE,,,,,,,851 [711-991],850.7407,710.5734,990.6816,,2021-02-09T16:20:04Z,2004,2004-01-01,2004-12-31
25257629,RS_196,COUNTRY,AFG,YEAR,2006,SEX,BTSX,,,,,,,3982 [3344-4620],3982,3344,4620,,2021-02-09T16:20:04Z,2006,2006-01-01,2006-12-31
25257630,RS_196,COUNTRY,AFG,YEAR,2002,SEX,MLE,,,,,,,2637 [2190-3084],2637.248,2189.753,3083.961,,2021-02-09T16:20:04Z,2002,2002-01-01,2002-12-31
25257631,RS_196,COUNTRY,AFG,YEAR,2009,SEX,MLE,,,,,,,3215 [2720-3710],3214.975,2720.363,3710.372,,2021-02-09T16:20:04Z,2009,2009-01-01,2009-12-31
25257632,RS_196,COUNTRY,AFG,YEAR,2000,SEX,BTSX,,,,,,,3044 [2508-3581],3044.351,2508.431,3581.289,,2021-02-09T16:20:04Z,2000,2000-01-01,2000-12-31
25257633,RS_196,COUNTRY,AFG,YEAR,2010,SEX,MLE,,,,,,,3306 [2802-3812],3306.464,2801.822,3811.891,,2021-02-09T16:20:04Z,2010,2010-01-01,2010-12-31
25257634,RS_196,COUNTRY,AFG,YEAR,2002,SEX,FMLE,,,,,,,734 [609-858],733.7519,609.247,858.0392,,2021-02-09T16:20:04Z,2002,2002-01-01,2002-12-31
25257635,RS_196,COUNTRY,AFG,YEAR,2004,SEX,BTSX,,,,,,,3757 [3138-4375],3757,3138,4375,,2021-02-09T16:20:04Z,2004,2004-01-01,2004-12-31
25257636,RS_196,COUNTRY,AFG,YEAR,2003,SEX,BTSX,,,,,,,3556 [2963-4149],3556,2963,4149,,2021-02-09T16:20:04Z,2003,2003-01-01,2003-12-31
25257637,RS_196,COUNTRY,AFG,YEAR,2001,SEX,MLE,,,,,,,2560 [2118-3001],2560.03,2118.343,3000.919,,2021-02-09T16:20:04Z,2001,2001-01-01,2001-12-31
