Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
22240670,RS_246,COUNTRY,ALB,YEAR,2016,ROADUSERTYPE,RS-DDC-2OR3WHEELS,,,,,,,11.9,11.9,,,,2020-04-23T15:31:21Z,2016,2016-01-01,2016-12-31
22240671,RS_246,COUNTRY,AND,YEAR,2013,ROADUSERTYPE,RS-DDC-2OR3WHEELS,,,,,,,50.0,50,,,,2020-04-23T15:31:21Z,2013,2013-01-01,2013-12-31
22240672,RS_246,COUNTRY,ATG,YEAR,2016,ROADUSERTYPE,RS-DDC-2OR3WHEELS,,,,,,,0.0,0,,,,2020-04-23T15:31:21Z,2016,2016-01-01,2016-12-31
22240673,RS_246,COUNTRY,ARG,YEAR,2016,ROADUSERTYPE,RS-DDC-2OR3WHEELS,,,,,,,22.2,22.2,,,,2020-04-23T15:31:21Z,2016,2016-01-01,2016-12-31
22240674,RS_246,COUNTRY,ARM,YEAR,2016,ROADUSERTYPE,RS-DDC-2OR3WHEELS,,,,,,,1.5,1.5,,,,2020-04-23T15:31:21Z,2016,2016-01-01,2016-12-31
22240675,RS_246,COUNTRY,AUS,YEAR,2016,ROADUSERTYPE,RS-DDC-2OR3WHEELS,,,,,,,19.3,19.3,,,,2020-04-23T15:31:21Z,2016,2016-01-01,2016-12-31
22240676,RS_246,COUNTRY,AUT,YEAR,2016,ROADUSERTYPE,RS-DDC-2OR3WHEELS,,,,,,,22.0,22,,,,2020-04-23T15:31:21Z,2016,2016-01-01,2016-12-31
22240677,RS_246,COUNTRY,AZE,YEAR,2016,ROADUSERTYPE,RS-DDC-2OR3WHEELS,,,,,,,0.9,0.9,,,,2020-04-23T15:31:21Z,2016,2016-01-01,2016-12-31
22240678,RS_246,COUNTRY,BHS,YEAR,2013,ROADUSERTYPE,RS-DDC-2OR3WHEELS,,,,,,,17.3,17.3,,,,2020-04-23T15:31:21Z,2013,2013-01-01,2013-12-31
22240679,RS_246,COUNTRY,BHR,YEAR,2013,ROADUSERTYPE,RS-DDC-2OR3WHEELS,,,,,,,9.1,9.1,,,,2020-04-23T15:31:21Z,2013,2013-01-01,2013-12-31
22240680,RS_246,COUNTRY,BRB,YEAR,2016,ROADUSERTYPE,RS-DDC-2OR3WHEELS,,,,,,,33.3,33.3,,,,2020-04-23T15:31:21Z,2016,2016-01-01,2016-12-31
